country,satellite_name,approximate_orbit_type,record_id,object_type,launch_year,launch_site,longitude,avg_longitude,geohash,HRR_Category,is_nominated,nominated_at,norad_cat_id,has_dossier,last_updated_at,justification,focused_analysis,days_old,conjunction_count,is_unk_object,all_maneuvers,days_since_ob,recent_maneuvers,deltaV_90day,has_sister_debris
CIS,METEOR 2-17 DEB,LEO,29301,DEBRIS,1988,PKMTR,-141.5791444,53.88615572,"62.925556,40.577778",,FALSE,,29301,FALSE,,,,13518,0,FALSE,,,,,
PRC,FENGYUN 1C DEB,LEO,29922,DEBRIS,1999,TSC,-21.84739066,-42.29037244,"38.849086,111.608497",,FALSE,,29922,FALSE,,,,9400,0,FALSE,,,,,
PRC,FENGYUN 1C DEB,LEO,30005,DEBRIS,1999,TSC,132.5500054,-71.52760996,"38.849086,111.608497",,FALSE,,30005,FALSE,,,,9400,0,FALSE,,,,,
PRC,FENGYUN 1C DEB,LEO,30155,DEBRIS,1999,TSC,-137.886235,31.22346425,"38.849086,111.608497",,FALSE,,30155,FALSE,,,,9400,0,FALSE,,,,,
PRC,FENGYUN 1C DEB,LEO,32119,DEBRIS,1999,TSC,156.1541958,-76.53691091,"38.849086,111.608497",,FALSE,,32119,FALSE,,,,9400,0,FALSE,,,,,
FR,ARIANE 2 DEB,HEO,33558,DEBRIS,1989,FRGUI,-166.7406377,133.0162242,"5.222222,-52.773611",,FALSE,,33558,FALSE,,,,13155,0,FALSE,,,,,
US,IRIDIUM 33 DEB,LEO,33776,DEBRIS,1997,TTMTR,-161.531332,-162.0095456,"45.965,63.305",,FALSE,,33776,FALSE,,,,10003,0,FALSE,,,,,
CIS,COSMOS 2251 DEB,LEO,35796,DEBRIS,1993,PKMTR,130.7502125,0,"62.925556,40.577778",,FALSE,,35796,FALSE,,,,11554,0,FALSE,,,,,
US,NAVSTAR 68 (USA 242),MEO,39166,PAYLOAD,2013,AFETR,28.25676647,91.14947619,"28.4917337,-80.5825555",,FALSE,,39166,FALSE,,,,4281,0,FALSE,,,,,
PRC,CZ-3C DEB,HEO,40862,DEBRIS,2012,XSC,0,0,"28.246017,102.026556",,FALSE,,40862,FALSE,,,,4727,0,FALSE,,,,,
CIS,SL-12 DEB,HEO,48539,DEBRIS,2008,TTMTR,0,0,"45.965,63.305",,FALSE,,48539,FALSE,,,,5974,0,FALSE,,,,,
UK,ONEWEB-0340,LEO,49206,PAYLOAD,2021,TTMTR,-151.8141968,-58.74088174,"45.965,63.305",,FALSE,,49206,FALSE,,,,1237,0,FALSE,,,,,
UK,ONEWEB-0347,LEO,49280,PAYLOAD,2021,VOSTO,-34.18039604,156.9912223,"51.884553,128.334778",,FALSE,,49280,FALSE,,,,1207,0,FALSE,,,,,
UK,ONEWEB-0438,LEO,51634,PAYLOAD,2022,FRGUI,85.3236077,-94.10556941,"5.222222,-52.773611",,FALSE,,51634,FALSE,,,,1088,0,FALSE,,,,,
US,STARLINK-3639,LEO,51789,PAYLOAD,2022,AFWTR,23.50347007,62.9845702,"34.742221,-120.57243",,FALSE,,51789,FALSE,,,,1073,17,FALSE,,,,,
CIS,SL-8 R/B,LEO,5181,ROCKET BODY,1971,PKMTR,77.29306131,-144.6792282,"62.925556,40.577778",,FALSE,,5181,FALSE,,,,19639,0,FALSE,,,,,
US,ATLAS 5 CENTAUR DEB,HEO,52967,DEBRIS,2018,AFETR,0,0,"28.4917337,-80.5825555",,FALSE,,52967,FALSE,,,,2300,0,FALSE,,,,,
CIS,COSMOS 2251 DEB,LEO,53093,DEBRIS,1993,PKMTR,-1.027667928,145.8261586,"62.925556,40.577778",,FALSE,,53093,FALSE,,,,11554,0,FALSE,,,,,
US,STARLINK-4354,LEO,53223,PAYLOAD,2022,AFWTR,34.33020449,131.3071355,"34.742221,-120.57243",,FALSE,,53223,FALSE,,,,926,6,FALSE,,,,,
US,STARLINK-5127,LEO,54010,PAYLOAD,2022,AFWTR,-80.57765731,-41.81888148,"34.742221,-120.57243",,FALSE,,54010,FALSE,,,,851,8,FALSE,,,,,
US,STARLINK-5246,LEO,54198,PAYLOAD,2022,AFWTR,92.60330935,148.7792243,"34.742221,-120.57243",,FALSE,,54198,FALSE,,,,828,10,FALSE,,,,,
US,STARLINK-6258,LEO,56413,PAYLOAD,2023,AFETR,55.36119812,23.89291919,"28.4917337,-80.5825555",,FALSE,,56413,FALSE,,,,640,5,FALSE,,,,,
US,STARLINK-6138,LEO,57329,PAYLOAD,2023,AFETR,54.49633275,22.98512313,"28.4917337,-80.5825555",,FALSE,,57329,FALSE,,,,567,9,FALSE,,,,,
US,STARLINK-31070,LEO,58639,PAYLOAD,2023,AFETR,107.8044107,-41.53728907,"28.4917337,-80.5825555",,FALSE,,58639,FALSE,,,,407,12,FALSE,,,,,
